,species,chemical,conc (mol/L),species_divisions,species_others,subClassOf,smiles,smiles_clusters
3496,https://cfpub.epa.gov/ecotox/taxon/5,https://cfpub.epa.gov/ecotox/cas/91225,3.528152982979785,https://cfpub.epa.gov/ecotox/group/Crustaceans,https://cfpub.epa.gov/ecotox/group/StandardTestSpecies,http://purl.obolibrary.org/obo/CHEBI_33832,C1=CC=C2C(=C1)C=CC=N2,3
3497,https://cfpub.epa.gov/ecotox/taxon/5,https://cfpub.epa.gov/ecotox/cas/91645,4.034129134276055,https://cfpub.epa.gov/ecotox/group/Crustaceans,https://cfpub.epa.gov/ecotox/group/StandardTestSpecies,http://purl.obolibrary.org/obo/CHEBI_33832,C1=CC=C2C(=C1)C=CC(=O)O2,3
3498,https://cfpub.epa.gov/ecotox/taxon/5,https://cfpub.epa.gov/ecotox/cas/92524,3.9836206498283175,https://cfpub.epa.gov/ecotox/group/Crustaceans,https://cfpub.epa.gov/ecotox/group/StandardTestSpecies,http://purl.obolibrary.org/obo/CHEBI_33832,C1=CC=C(C=C1)C2=CC=CC=C2,3
3499,https://cfpub.epa.gov/ecotox/taxon/5,https://cfpub.epa.gov/ecotox/cas/95476,2.790096876020118,https://cfpub.epa.gov/ecotox/group/Crustaceans,https://cfpub.epa.gov/ecotox/group/StandardTestSpecies,http://purl.obolibrary.org/obo/CHEBI_134179,CC1=CC=CC=C1C,3
3500,https://cfpub.epa.gov/ecotox/taxon/5,https://cfpub.epa.gov/ecotox/cas/95487,3.8546799778107856,https://cfpub.epa.gov/ecotox/group/Crustaceans,https://cfpub.epa.gov/ecotox/group/StandardTestSpecies,http://purl.obolibrary.org/obo/CHEBI_33832,CC1=CC=CC=C1O,3
3501,https://cfpub.epa.gov/ecotox/taxon/5,https://cfpub.epa.gov/ecotox/cas/95534,4.8961410626547215,https://cfpub.epa.gov/ecotox/group/Crustaceans,https://cfpub.epa.gov/ecotox/group/StandardTestSpecies,http://purl.obolibrary.org/obo/CHEBI_33832,CC1=CC=CC=C1N,3
3502,https://cfpub.epa.gov/ecotox/taxon/5,https://cfpub.epa.gov/ecotox/cas/97007,5.516428951696291,https://cfpub.epa.gov/ecotox/group/Crustaceans,https://cfpub.epa.gov/ecotox/group/StandardTestSpecies,http://purl.obolibrary.org/obo/CHEBI_33832,C1=CC(=C(C=C1[N+](=O)[O-])[N+](=O)[O-])Cl,1
3503,https://cfpub.epa.gov/ecotox/taxon/5,https://cfpub.epa.gov/ecotox/cas/98011,3.5673928765973466,https://cfpub.epa.gov/ecotox/group/Crustaceans,https://cfpub.epa.gov/ecotox/group/StandardTestSpecies,http://purl.obolibrary.org/obo/CHEBI_33832,C1=COC(=C1)C=O,1
3504,https://cfpub.epa.gov/ecotox/taxon/5,https://cfpub.epa.gov/ecotox/cas/98828,2.674687593597427,https://cfpub.epa.gov/ecotox/group/Crustaceans,https://cfpub.epa.gov/ecotox/group/StandardTestSpecies,http://purl.obolibrary.org/obo/CHEBI_33832,CC(C)C1=CC=CC=C1,3
3505,https://cfpub.epa.gov/ecotox/taxon/5,https://cfpub.epa.gov/ecotox/cas/98953,3.7098068422151047,https://cfpub.epa.gov/ecotox/group/Crustaceans,https://cfpub.epa.gov/ecotox/group/StandardTestSpecies,http://purl.obolibrary.org/obo/CHEBI_33832,C1=CC=C(C=C1)[N+](=O)[O-],1
3506,https://cfpub.epa.gov/ecotox/taxon/5,https://cfpub.epa.gov/ecotox/cas/99876,3.4263250964190113,https://cfpub.epa.gov/ecotox/group/Crustaceans,https://cfpub.epa.gov/ecotox/group/StandardTestSpecies,http://purl.obolibrary.org/obo/CHEBI_33832,CC1=CC=C(C=C1)C(C)C,3
3507,https://cfpub.epa.gov/ecotox/taxon/50,https://cfpub.epa.gov/ecotox/cas/121755,4.865348889263657,https://cfpub.epa.gov/ecotox/group/Crustaceans,,http://purl.obolibrary.org/obo/CHEBI_36587,CCOC(=O)CC(C(=O)OCC)SP(=S)(OC)OC,3
