,species,chemical,log conc (mol/L),species_divisions,species_others,subClassOf,smiles,smiles_clusters
43,https://cfpub.epa.gov/ecotox/taxon/1146,https://cfpub.epa.gov/ecotox/cas/7646799,2.8746267516176824,https://cfpub.epa.gov/ecotox/group/Amphibians,,,Cl[Co]Cl,1
44,https://cfpub.epa.gov/ecotox/taxon/1146,https://cfpub.epa.gov/ecotox/cas/7758987,3.75391393327532,https://cfpub.epa.gov/ecotox/group/Amphibians,,,[O-]S(=O)(=O)[O-].[Cu+2],0
45,https://cfpub.epa.gov/ecotox/taxon/1146,https://cfpub.epa.gov/ecotox/cas/7785877,1.5916233407947131,https://cfpub.epa.gov/ecotox/group/Amphibians,,,[O-]S(=O)(=O)[O-].[Mn+2],0
46,https://cfpub.epa.gov/ecotox/taxon/11531,https://cfpub.epa.gov/ecotox/cas/168316958,6.526897551713074,https://cfpub.epa.gov/ecotox/group/Insects/Spiders,,http://purl.obolibrary.org/obo/CHEBI_33832,CCC1CCCC(C(C(=O)C2=CC3C4CC(CC4C=CC3C2CC(=O)O1)OC5C(C(C(C(O5)C)OC)OC)OC)C)OC6CCC(C(O6)C)N(C)C.CCC1CCCC(C(C(=O)C2=CC3C4CC(CC4C(=CC3C2CC(=O)O1)C)OC5C(C(C(C(O5)C)OC)OC)OC)C)OC6CCC(C(O6)C)N(C)C,3
47,https://cfpub.epa.gov/ecotox/taxon/11545,https://cfpub.epa.gov/ecotox/cas/7632000,2.317712286133001,https://cfpub.epa.gov/ecotox/group/Crustaceans,,,N(=O)[O-].[Na+],1
48,https://cfpub.epa.gov/ecotox/taxon/11739,https://cfpub.epa.gov/ecotox/cas/10325947,2.6471913144433867,https://cfpub.epa.gov/ecotox/group/Fish,,,[N+](=O)([O-])[O-].[N+](=O)([O-])[O-].[Cd+2],0
49,https://cfpub.epa.gov/ecotox/taxon/11739,https://cfpub.epa.gov/ecotox/cas/7487947,4.434421985464454,https://cfpub.epa.gov/ecotox/group/Fish,,,Cl[Hg]Cl,1
50,https://cfpub.epa.gov/ecotox/taxon/11739,https://cfpub.epa.gov/ecotox/cas/7646857,2.4235738189948597,https://cfpub.epa.gov/ecotox/group/Fish,,,Cl[Zn]Cl,1
51,https://cfpub.epa.gov/ecotox/taxon/11739,https://cfpub.epa.gov/ecotox/cas/7758987,4.510966343761736,https://cfpub.epa.gov/ecotox/group/Fish,,,[O-]S(=O)(=O)[O-].[Cu+2],0
52,https://cfpub.epa.gov/ecotox/taxon/11779,https://cfpub.epa.gov/ecotox/cas/10043353,0.6207533503323119,https://cfpub.epa.gov/ecotox/group/Crustaceans,https://cfpub.epa.gov/ecotox/group/U.S.Exotic/NuisanceSpecies,,B(O)(O)O,1
53,https://cfpub.epa.gov/ecotox/taxon/11779,https://cfpub.epa.gov/ecotox/cas/7632000,2.9741576239275016,https://cfpub.epa.gov/ecotox/group/Crustaceans,https://cfpub.epa.gov/ecotox/group/U.S.Exotic/NuisanceSpecies,,N(=O)[O-].[Na+],1
54,https://cfpub.epa.gov/ecotox/taxon/11783,https://cfpub.epa.gov/ecotox/cas/7733020,5.367286054698598,https://cfpub.epa.gov/ecotox/group/Fish,https://cfpub.epa.gov/ecotox/group/U.S.ThreatenedandEndangeredSpecies,,[O-]S(=O)(=O)[O-].[Zn+2],0
55,https://cfpub.epa.gov/ecotox/taxon/1186,https://cfpub.epa.gov/ecotox/cas/7646799,2.8573021675453383,https://cfpub.epa.gov/ecotox/group/Worms,https://cfpub.epa.gov/ecotox/group/StandardTestSpecies,,Cl[Co]Cl,1
56,https://cfpub.epa.gov/ecotox/taxon/1194,https://cfpub.epa.gov/ecotox/cas/10108642,2.643366782171917,https://cfpub.epa.gov/ecotox/group/Amphibians,,,Cl[Cd]Cl,1
57,https://cfpub.epa.gov/ecotox/taxon/1194,https://cfpub.epa.gov/ecotox/cas/7447394,5.837859820185296,https://cfpub.epa.gov/ecotox/group/Amphibians,,,Cl[Cu]Cl,1
58,https://cfpub.epa.gov/ecotox/taxon/127,https://cfpub.epa.gov/ecotox/cas/7647145,0.4712234782406924,https://cfpub.epa.gov/ecotox/group/Fish,,,[Na+].[Cl-],1
59,https://cfpub.epa.gov/ecotox/taxon/127,https://cfpub.epa.gov/ecotox/cas/7722647,4.612151020631289,https://cfpub.epa.gov/ecotox/group/Fish,,,[O-][Mn](=O)(=O)=O.[K+],1
60,https://cfpub.epa.gov/ecotox/taxon/127,https://cfpub.epa.gov/ecotox/cas/7758987,4.746080117147617,https://cfpub.epa.gov/ecotox/group/Fish,,,[O-]S(=O)(=O)[O-].[Cu+2],0
61,https://cfpub.epa.gov/ecotox/taxon/127,https://cfpub.epa.gov/ecotox/cas/85007,4.046236888114031,https://cfpub.epa.gov/ecotox/group/Fish,,,C1C[N+]2=CC=CC=C2C3=CC=CC=[N+]31.[Br-].[Br-],2
62,https://cfpub.epa.gov/ecotox/taxon/1270,https://cfpub.epa.gov/ecotox/cas/7632000,2.8387400187738865,https://cfpub.epa.gov/ecotox/group/Crustaceans,,,N(=O)[O-].[Na+],1
63,https://cfpub.epa.gov/ecotox/taxon/1270,https://cfpub.epa.gov/ecotox/cas/7646799,3.1101551985252316,https://cfpub.epa.gov/ecotox/group/Crustaceans,,,Cl[Co]Cl,1
64,https://cfpub.epa.gov/ecotox/taxon/1270,https://cfpub.epa.gov/ecotox/cas/7681529,3.3638116906275664,https://cfpub.epa.gov/ecotox/group/Crustaceans,,,[O-]Cl.[Na+],1
65,https://cfpub.epa.gov/ecotox/taxon/1270,https://cfpub.epa.gov/ecotox/cas/7718549,3.1692482224866825,https://cfpub.epa.gov/ecotox/group/Crustaceans,,,Cl[Ni]Cl,1
66,https://cfpub.epa.gov/ecotox/taxon/1270,https://cfpub.epa.gov/ecotox/cas/7733020,3.4634338187688014,https://cfpub.epa.gov/ecotox/group/Crustaceans,,,[O-]S(=O)(=O)[O-].[Zn+2],0
67,https://cfpub.epa.gov/ecotox/taxon/1270,https://cfpub.epa.gov/ecotox/cas/7758023,3.071447657634495,https://cfpub.epa.gov/ecotox/group/Crustaceans,,,[K+].[Br-],1
68,https://cfpub.epa.gov/ecotox/taxon/1270,https://cfpub.epa.gov/ecotox/cas/7758987,3.6959219862976336,https://cfpub.epa.gov/ecotox/group/Crustaceans,,,[O-]S(=O)(=O)[O-].[Cu+2],0
69,https://cfpub.epa.gov/ecotox/taxon/1270,https://cfpub.epa.gov/ecotox/cas/7778509,4.2919206192268495,https://cfpub.epa.gov/ecotox/group/Crustaceans,,,[O-][Cr](=O)(=O)O[Cr](=O)(=O)[O-].[K+].[K+],0
70,https://cfpub.epa.gov/ecotox/taxon/1270,https://cfpub.epa.gov/ecotox/cas/7783202,3.1206397284155662,https://cfpub.epa.gov/ecotox/group/Crustaceans,,,N.N.OS(=O)(=O)O,1
71,https://cfpub.epa.gov/ecotox/taxon/1270,https://cfpub.epa.gov/ecotox/cas/7787475,2.897352134344313,https://cfpub.epa.gov/ecotox/group/Crustaceans,,,[Be+2].[Cl-].[Cl-],0
72,https://cfpub.epa.gov/ecotox/taxon/1292,https://cfpub.epa.gov/ecotox/cas/10108642,6.264442373688099,https://cfpub.epa.gov/ecotox/group/Molluscs,,,Cl[Cd]Cl,1
73,https://cfpub.epa.gov/ecotox/taxon/1292,https://cfpub.epa.gov/ecotox/cas/7646857,6.047492284778893,https://cfpub.epa.gov/ecotox/group/Molluscs,,,Cl[Zn]Cl,1
74,https://cfpub.epa.gov/ecotox/taxon/1292,https://cfpub.epa.gov/ecotox/cas/7758954,6.744940420705477,https://cfpub.epa.gov/ecotox/group/Molluscs,,,Cl[Pb]Cl,1
75,https://cfpub.epa.gov/ecotox/taxon/13,https://cfpub.epa.gov/ecotox/cas/17599814,4.647012926638952,https://cfpub.epa.gov/ecotox/group/Fish,,,[O-]S(=O)(=O)[O-].[Cu+].[Cu+],0
76,https://cfpub.epa.gov/ecotox/taxon/13,https://cfpub.epa.gov/ecotox/cas/7783202,2.819609732751585,https://cfpub.epa.gov/ecotox/group/Fish,,,N.N.OS(=O)(=O)O,1
77,https://cfpub.epa.gov/ecotox/taxon/134,https://cfpub.epa.gov/ecotox/cas/7758987,3.0930550257082023,https://cfpub.epa.gov/ecotox/group/Fish,,,[O-]S(=O)(=O)[O-].[Cu+2],0
78,https://cfpub.epa.gov/ecotox/taxon/1350,https://cfpub.epa.gov/ecotox/cas/10102188,2.7838860960504017,https://cfpub.epa.gov/ecotox/group/Worms,,,[O-][Se](=O)[O-].[Na+].[Na+],0
79,https://cfpub.epa.gov/ecotox/taxon/1350,https://cfpub.epa.gov/ecotox/cas/7487947,5.328911800694482,https://cfpub.epa.gov/ecotox/group/Worms,,,Cl[Hg]Cl,1
80,https://cfpub.epa.gov/ecotox/taxon/14,https://cfpub.epa.gov/ecotox/cas/10049044,0.9968032607288566,https://cfpub.epa.gov/ecotox/group/Fish,,,O=Cl[O],1
81,https://cfpub.epa.gov/ecotox/taxon/142,https://cfpub.epa.gov/ecotox/cas/12125029,1.1029182831121431,https://cfpub.epa.gov/ecotox/group/Crustaceans,https://cfpub.epa.gov/ecotox/group/StandardTestSpecies,,N.Cl,1
82,https://cfpub.epa.gov/ecotox/taxon/142,https://cfpub.epa.gov/ecotox/cas/1313275,2.991436716016488,https://cfpub.epa.gov/ecotox/group/Crustaceans,https://cfpub.epa.gov/ecotox/group/StandardTestSpecies,,O=[Mo](=O)=O,1
